rho,qH,tau,method,seed,idx,vh,vl,uh,ul,cert,meanBH,meanBL
0.35,0.2,0.5,DR,0,188,150,146,1.0,0.9926874536019917,0,0.13389816823808445,0.11331089678314352
0.35,0.2,0.5,DR,1,188,150,146,1.0,0.9926874536019917,0,0.13389816823808445,0.11331089678314352
0.35,0.2,0.5,DR,2,188,150,146,1.0,0.9926874536019917,0,0.13389816823808445,0.11331089678314352
0.35,0.2,0.5,DR,3,188,150,146,1.0,0.9926874536019917,0,0.13389816823808445,0.11331089678314352
0.35,0.2,0.5,DR,4,188,150,146,1.0,0.9926874536019917,0,0.13389816823808445,0.11331089678314352
0.35,0.2,0.5,G,0,152,150,147,1.0,0.9958563747187794,0,0.1336863218834143,0.11079373333589118
0.35,0.2,0.5,G,1,152,150,147,1.0,0.9958563747187794,0,0.1336863218834143,0.11079373333589118
0.35,0.2,0.5,G,2,152,150,147,1.0,0.9958563747187794,0,0.1336863218834143,0.11079373333589118
0.35,0.2,0.5,G,3,176,149,143,0.99983122885689,0.9810344303654225,0,0.12716265985578276,0.10647739770996584
0.35,0.2,0.5,G,4,170,150,145,1.0,0.9890898135310887,0,0.13305217789870394,0.11180364825556867
0.35,0.2,2.0,DR,0,94,149,149,0.99983122885689,0.99983122885689,0,0.13225138911603712,0.12972673185538183
0.35,0.2,2.0,DR,1,94,149,149,0.99983122885689,0.99983122885689,0,0.13225138911603712,0.12972673185538183
0.35,0.2,2.0,DR,2,94,149,149,0.99983122885689,0.99983122885689,0,0.13225138911603712,0.12972673185538183
0.35,0.2,2.0,DR,3,94,149,149,0.99983122885689,0.99983122885689,0,0.13225138911603712,0.12972673185538183
0.35,0.2,2.0,DR,4,94,149,149,0.99983122885689,0.99983122885689,0,0.13225138911603712,0.12972673185538183
0.35,0.2,2.0,G,0,123,150,147,1.0,0.9958563747187794,0,0.13445086489316382,0.13292716235157612
0.35,0.2,2.0,G,1,123,150,147,1.0,0.9958563747187794,0,0.13445086489316382,0.13292716235157612
0.35,0.2,2.0,G,2,123,150,147,1.0,0.9958563747187794,0,0.13445086489316382,0.13292716235157612
0.35,0.2,2.0,G,3,108,150,149,1.0,0.99983122885689,0,0.13411933627729986,0.13266702491364493
0.35,0.2,2.0,G,4,172,150,148,1.0,0.9983811729701603,0,0.1351970484128497,0.13549004894167904
0.35,0.5,0.5,DR,0,170,150,143,1.0,0.9810344303654225,0,0.14132231172065127,0.1155575680596643
0.35,0.5,0.5,DR,1,170,150,143,1.0,0.9810344303654225,0,0.14132231172065127,0.1155575680596643
0.35,0.5,0.5,DR,2,170,150,143,1.0,0.9810344303654225,0,0.14132231172065127,0.1155575680596643
0.35,0.5,0.5,DR,3,170,150,143,1.0,0.9810344303654225,0,0.14132231172065127,0.1155575680596643
0.35,0.5,0.5,DR,4,170,150,143,1.0,0.9810344303654225,0,0.14132231172065127,0.1155575680596643
0.35,0.5,0.5,G,0,189,150,146,1.0,0.9926874536019917,0,0.14340296752481735,0.11977243962505629
0.35,0.5,0.5,G,1,189,150,146,1.0,0.9926874536019917,0,0.14340296752481735,0.11977243962505629
0.35,0.5,0.5,G,2,189,150,146,1.0,0.9926874536019917,0,0.14340296752481735,0.11977243962505629
0.35,0.5,0.5,G,3,189,150,146,1.0,0.9926874536019917,0,0.14340296752481735,0.11977243962505629
0.35,0.5,0.5,G,4,189,150,146,1.0,0.9926874536019917,0,0.14340296752481735,0.11977243962505629
0.35,0.5,2.0,DR,0,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.5,2.0,DR,1,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.5,2.0,DR,2,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.5,2.0,DR,3,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.5,2.0,DR,4,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.5,2.0,G,0,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.5,2.0,G,1,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.5,2.0,G,2,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.5,2.0,G,3,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.5,2.0,G,4,189,150,148,1.0,0.9983811729701603,0,0.14708530948821769,0.13693088132113274
0.35,0.8,0.5,DR,0,152,150,145,1.0,0.9890898135310887,0,0.1581995906517104,0.12034817241424808
0.35,0.8,0.5,DR,1,152,150,145,1.0,0.9890898135310887,0,0.1581995906517104,0.12034817241424808
0.35,0.8,0.5,DR,2,152,150,145,1.0,0.9890898135310887,0,0.1581995906517104,0.12034817241424808
0.35,0.8,0.5,DR,3,152,150,145,1.0,0.9890898135310887,0,0.1581995906517104,0.12034817241424808
0.35,0.8,0.5,DR,4,152,150,145,1.0,0.9890898135310887,0,0.1581995906517104,0.12034817241424808
0.35,0.8,0.5,G,0,152,150,145,1.0,0.9890898135310887,0,0.1581995906517104,0.12034817241424808
0.35,0.8,0.5,G,1,114,150,137,1.0,0.9530447797605528,0,0.15509671215725745,0.11486007362295775
0.35,0.8,0.5,G,2,152,150,145,1.0,0.9890898135310887,0,0.1581995906517104,0.12034817241424808
0.35,0.8,0.5,G,3,152,150,145,1.0,0.9890898135310887,0,0.1581995906517104,0.12034817241424808
0.35,0.8,0.5,G,4,152,150,145,1.0,0.9890898135310887,0,0.1581995906517104,0.12034817241424808
0.35,0.8,2.0,DR,0,181,150,145,1.0,0.9890898135310887,0,0.16232197920533054,0.13947724896851313
0.35,0.8,2.0,DR,1,181,150,145,1.0,0.9890898135310887,0,0.16232197920533054,0.13947724896851313
0.35,0.8,2.0,DR,2,181,150,145,1.0,0.9890898135310887,0,0.16232197920533054,0.13947724896851313
0.35,0.8,2.0,DR,3,181,150,145,1.0,0.9890898135310887,0,0.16232197920533054,0.13947724896851313
0.35,0.8,2.0,DR,4,181,150,145,1.0,0.9890898135310887,0,0.16232197920533054,0.13947724896851313
0.35,0.8,2.0,G,0,185,150,146,1.0,0.9926874536019917,0,0.16219366566230609,0.14134757011486376
0.35,0.8,2.0,G,1,182,150,146,1.0,0.9926874536019917,0,0.16250444797402003,0.13986567347912507
0.35,0.8,2.0,G,2,185,150,146,1.0,0.9926874536019917,0,0.16219366566230609,0.14134757011486376
0.35,0.8,2.0,G,3,185,150,146,1.0,0.9926874536019917,0,0.16219366566230609,0.14134757011486376
0.35,0.8,2.0,G,4,184,150,145,1.0,0.9890898135310887,0,0.1624610816721875,0.1415239968232622
0.45,0.2,0.5,DR,0,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,DR,1,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,DR,2,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,DR,3,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,DR,4,187,150,147,1.0,0.9958563747187794,0,0.14602658409183544,0.12777251362049621
0.45,0.2,0.5,G,0,185,149,148,0.99983122885689,0.9983811729701603,0,0.14550301944010136,0.12802977844504917
0.45,0.2,0.5,G,1,167,149,146,0.99983122885689,0.9926874536019917,0,0.14199288537704352,0.12456139316086758
0.45,0.2,0.5,G,2,185,149,148,0.99983122885689,0.9983811729701603,0,0.14550301944010136,0.12802977844504917
0.45,0.2,0.5,G,3,185,149,148,0.99983122885689,0.9983811729701603,0,0.14550301944010136,0.12802977844504917
0.45,0.2,0.5,G,4,185,149,148,0.99983122885689,0.9983811729701603,0,0.14550301944010136,0.12802977844504917
0.45,0.2,2.0,DR,0,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,DR,1,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,DR,2,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,DR,3,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,DR,4,188,150,150,1.0,1.0,0,0.16766092098071206,0.16406241990644813
0.45,0.2,2.0,G,0,189,150,150,1.0,1.0,0,0.16757147999193778,0.16242347496106443
0.45,0.2,2.0,G,1,189,150,150,1.0,1.0,0,0.16757147999193778,0.16242347496106443
0.45,0.2,2.0,G,2,108,150,150,1.0,1.0,0,0.16320817527240508,0.1551411151869497
0.45,0.2,2.0,G,3,108,150,150,1.0,1.0,0,0.16320817527240508,0.1551411151869497
0.45,0.2,2.0,G,4,81,150,150,1.0,1.0,0,0.16291682339981145,0.15515288952641432
0.45,0.5,0.5,DR,0,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
0.45,0.5,0.5,DR,1,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
0.45,0.5,0.5,DR,2,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
0.45,0.5,0.5,DR,3,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
0.45,0.5,0.5,DR,4,132,150,139,1.0,0.9628253852180945,0,0.16072602368152217,0.11962481861489507
0.45,0.5,0.5,G,0,118,150,145,1.0,0.9890898135310887,0,0.16215264054223918,0.12242750892974293
0.45,0.5,0.5,G,1,104,150,141,1.0,0.972200022205544,0,0.16060373754130278,0.11877084822409761
0.45,0.5,0.5,G,2,118,150,145,1.0,0.9890898135310887,0,0.16215264054223918,0.12242750892974293
0.45,0.5,0.5,G,3,141,150,144,1.0,0.985181478885102,0,0.15759426745337352,0.11396023102692074
0.45,0.5,0.5,G,4,119,150,143,1.0,0.9810344303654225,0,0.16195874308009728,0.11852164729651271
0.45,0.5,2.0,DR,0,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,DR,1,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,DR,2,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,DR,3,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,DR,4,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,0,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,1,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,2,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,3,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.5,2.0,G,4,6,150,144,1.0,0.985181478885102,0,0.16081881124658964,0.13339284899148174
0.45,0.8,0.5,DR,0,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,DR,1,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,DR,2,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,DR,3,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,DR,4,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,0,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,1,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,2,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,3,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,0.5,G,4,45,150,124,1.0,0.8835378266393749,0,0.17898853520423694,0.10120821052858661
0.45,0.8,2.0,DR,0,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,DR,1,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,DR,2,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,DR,3,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,DR,4,3,150,134,1.0,0.9377894259935293,0,0.1749963235105253,0.11530284678031634
0.45,0.8,2.0,G,0,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
0.45,0.8,2.0,G,1,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
0.45,0.8,2.0,G,2,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
0.45,0.8,2.0,G,3,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
0.45,0.8,2.0,G,4,0,150,135,1.0,0.9429425651637531,0,0.17414700516454312,0.1150735234608847
