method,BH_limit,BL_limit,certified_runs,runs,certified_fraction
DR-BGS,0.02,0.05,0,60,0.0
DR-BGS,0.02,0.075,0,60,0.0
DR-BGS,0.02,0.1,0,60,0.0
DR-BGS,0.02,0.125,0,60,0.0
DR-BGS,0.02,0.15,0,60,0.0
DR-BGS,0.02,0.2,0,60,0.0
DR-BGS,0.02,0.25,0,60,0.0
DR-BGS,0.02,0.3,0,60,0.0
DR-BGS,0.02,0.35,0,60,0.0
DR-BGS,0.03,0.05,0,60,0.0
DR-BGS,0.03,0.075,0,60,0.0
DR-BGS,0.03,0.1,0,60,0.0
DR-BGS,0.03,0.125,0,60,0.0
DR-BGS,0.03,0.15,0,60,0.0
DR-BGS,0.03,0.2,0,60,0.0
DR-BGS,0.03,0.25,0,60,0.0
DR-BGS,0.03,0.3,0,60,0.0
DR-BGS,0.03,0.35,0,60,0.0
DR-BGS,0.05,0.05,0,60,0.0
DR-BGS,0.05,0.075,0,60,0.0
DR-BGS,0.05,0.1,0,60,0.0
DR-BGS,0.05,0.125,0,60,0.0
DR-BGS,0.05,0.15,0,60,0.0
DR-BGS,0.05,0.2,0,60,0.0
DR-BGS,0.05,0.25,0,60,0.0
DR-BGS,0.05,0.3,0,60,0.0
DR-BGS,0.05,0.35,0,60,0.0
DR-BGS,0.075,0.05,0,60,0.0
DR-BGS,0.075,0.075,0,60,0.0
DR-BGS,0.075,0.1,0,60,0.0
DR-BGS,0.075,0.125,0,60,0.0
DR-BGS,0.075,0.15,0,60,0.0
DR-BGS,0.075,0.2,0,60,0.0
DR-BGS,0.075,0.25,0,60,0.0
DR-BGS,0.075,0.3,0,60,0.0
DR-BGS,0.075,0.35,0,60,0.0
DR-BGS,0.1,0.05,0,60,0.0
DR-BGS,0.1,0.075,0,60,0.0
DR-BGS,0.1,0.1,0,60,0.0
DR-BGS,0.1,0.125,0,60,0.0
DR-BGS,0.1,0.15,0,60,0.0
DR-BGS,0.1,0.2,0,60,0.0
DR-BGS,0.1,0.25,0,60,0.0
DR-BGS,0.1,0.3,0,60,0.0
DR-BGS,0.1,0.35,0,60,0.0
DR-BGS,0.125,0.05,0,60,0.0
DR-BGS,0.125,0.075,0,60,0.0
DR-BGS,0.125,0.1,0,60,0.0
DR-BGS,0.125,0.125,0,60,0.0
DR-BGS,0.125,0.15,0,60,0.0
DR-BGS,0.125,0.2,0,60,0.0
DR-BGS,0.125,0.25,0,60,0.0
DR-BGS,0.125,0.3,0,60,0.0
DR-BGS,0.125,0.35,0,60,0.0
DR-BGS,0.15,0.05,0,60,0.0
DR-BGS,0.15,0.075,0,60,0.0
DR-BGS,0.15,0.1,0,60,0.0
DR-BGS,0.15,0.125,0,60,0.0
DR-BGS,0.15,0.15,0,60,0.0
DR-BGS,0.15,0.2,0,60,0.0
DR-BGS,0.15,0.25,0,60,0.0
DR-BGS,0.15,0.3,0,60,0.0
DR-BGS,0.15,0.35,0,60,0.0
DR-BGS,0.2,0.05,0,60,0.0
DR-BGS,0.2,0.075,0,60,0.0
DR-BGS,0.2,0.1,0,60,0.0
DR-BGS,0.2,0.125,0,60,0.0
DR-BGS,0.2,0.15,0,60,0.0
DR-BGS,0.2,0.2,0,60,0.0
DR-BGS,0.2,0.25,0,60,0.0
DR-BGS,0.2,0.3,0,60,0.0
DR-BGS,0.2,0.35,0,60,0.0
DR-BGS,0.25,0.05,0,60,0.0
DR-BGS,0.25,0.075,0,60,0.0
DR-BGS,0.25,0.1,0,60,0.0
DR-BGS,0.25,0.125,0,60,0.0
DR-BGS,0.25,0.15,0,60,0.0
DR-BGS,0.25,0.2,5,60,0.08333333333333333
DR-BGS,0.25,0.25,10,60,0.16666666666666666
DR-BGS,0.25,0.3,10,60,0.16666666666666666
DR-BGS,0.25,0.35,10,60,0.16666666666666666
DR-BGS,0.3,0.05,0,60,0.0
DR-BGS,0.3,0.075,0,60,0.0
DR-BGS,0.3,0.1,0,60,0.0
DR-BGS,0.3,0.125,0,60,0.0
DR-BGS,0.3,0.15,0,60,0.0
DR-BGS,0.3,0.2,10,60,0.16666666666666666
DR-BGS,0.3,0.25,20,60,0.3333333333333333
DR-BGS,0.3,0.3,25,60,0.4166666666666667
DR-BGS,0.3,0.35,25,60,0.4166666666666667
DR-BGS,0.35,0.05,0,60,0.0
DR-BGS,0.35,0.075,0,60,0.0
DR-BGS,0.35,0.1,0,60,0.0
DR-BGS,0.35,0.125,0,60,0.0
DR-BGS,0.35,0.15,0,60,0.0
DR-BGS,0.35,0.2,15,60,0.25
DR-BGS,0.35,0.25,25,60,0.4166666666666667
DR-BGS,0.35,0.3,40,60,0.6666666666666666
DR-BGS,0.35,0.35,45,60,0.75
Guarded-GP,0.02,0.05,0,60,0.0
Guarded-GP,0.02,0.075,0,60,0.0
Guarded-GP,0.02,0.1,0,60,0.0
Guarded-GP,0.02,0.125,0,60,0.0
Guarded-GP,0.02,0.15,0,60,0.0
Guarded-GP,0.02,0.2,0,60,0.0
Guarded-GP,0.02,0.25,0,60,0.0
Guarded-GP,0.02,0.3,0,60,0.0
Guarded-GP,0.02,0.35,0,60,0.0
Guarded-GP,0.03,0.05,0,60,0.0
Guarded-GP,0.03,0.075,0,60,0.0
Guarded-GP,0.03,0.1,0,60,0.0
Guarded-GP,0.03,0.125,0,60,0.0
Guarded-GP,0.03,0.15,0,60,0.0
Guarded-GP,0.03,0.2,0,60,0.0
Guarded-GP,0.03,0.25,0,60,0.0
Guarded-GP,0.03,0.3,0,60,0.0
Guarded-GP,0.03,0.35,0,60,0.0
Guarded-GP,0.05,0.05,0,60,0.0
Guarded-GP,0.05,0.075,0,60,0.0
Guarded-GP,0.05,0.1,0,60,0.0
Guarded-GP,0.05,0.125,0,60,0.0
Guarded-GP,0.05,0.15,0,60,0.0
Guarded-GP,0.05,0.2,0,60,0.0
Guarded-GP,0.05,0.25,0,60,0.0
Guarded-GP,0.05,0.3,0,60,0.0
Guarded-GP,0.05,0.35,0,60,0.0
Guarded-GP,0.075,0.05,0,60,0.0
Guarded-GP,0.075,0.075,0,60,0.0
Guarded-GP,0.075,0.1,0,60,0.0
Guarded-GP,0.075,0.125,0,60,0.0
Guarded-GP,0.075,0.15,0,60,0.0
Guarded-GP,0.075,0.2,0,60,0.0
Guarded-GP,0.075,0.25,0,60,0.0
Guarded-GP,0.075,0.3,0,60,0.0
Guarded-GP,0.075,0.35,0,60,0.0
Guarded-GP,0.1,0.05,0,60,0.0
Guarded-GP,0.1,0.075,0,60,0.0
Guarded-GP,0.1,0.1,0,60,0.0
Guarded-GP,0.1,0.125,0,60,0.0
Guarded-GP,0.1,0.15,0,60,0.0
Guarded-GP,0.1,0.2,0,60,0.0
Guarded-GP,0.1,0.25,0,60,0.0
Guarded-GP,0.1,0.3,0,60,0.0
Guarded-GP,0.1,0.35,0,60,0.0
Guarded-GP,0.125,0.05,0,60,0.0
Guarded-GP,0.125,0.075,0,60,0.0
Guarded-GP,0.125,0.1,0,60,0.0
Guarded-GP,0.125,0.125,0,60,0.0
Guarded-GP,0.125,0.15,0,60,0.0
Guarded-GP,0.125,0.2,0,60,0.0
Guarded-GP,0.125,0.25,0,60,0.0
Guarded-GP,0.125,0.3,0,60,0.0
Guarded-GP,0.125,0.35,0,60,0.0
Guarded-GP,0.15,0.05,0,60,0.0
Guarded-GP,0.15,0.075,0,60,0.0
Guarded-GP,0.15,0.1,0,60,0.0
Guarded-GP,0.15,0.125,0,60,0.0
Guarded-GP,0.15,0.15,0,60,0.0
Guarded-GP,0.15,0.2,0,60,0.0
Guarded-GP,0.15,0.25,0,60,0.0
Guarded-GP,0.15,0.3,0,60,0.0
Guarded-GP,0.15,0.35,0,60,0.0
Guarded-GP,0.2,0.05,0,60,0.0
Guarded-GP,0.2,0.075,0,60,0.0
Guarded-GP,0.2,0.1,0,60,0.0
Guarded-GP,0.2,0.125,0,60,0.0
Guarded-GP,0.2,0.15,0,60,0.0
Guarded-GP,0.2,0.2,0,60,0.0
Guarded-GP,0.2,0.25,0,60,0.0
Guarded-GP,0.2,0.3,0,60,0.0
Guarded-GP,0.2,0.35,0,60,0.0
Guarded-GP,0.25,0.05,0,60,0.0
Guarded-GP,0.25,0.075,0,60,0.0
Guarded-GP,0.25,0.1,0,60,0.0
Guarded-GP,0.25,0.125,0,60,0.0
Guarded-GP,0.25,0.15,0,60,0.0
Guarded-GP,0.25,0.2,8,60,0.13333333333333333
Guarded-GP,0.25,0.25,12,60,0.2
Guarded-GP,0.25,0.3,12,60,0.2
Guarded-GP,0.25,0.35,12,60,0.2
Guarded-GP,0.3,0.05,0,60,0.0
Guarded-GP,0.3,0.075,0,60,0.0
Guarded-GP,0.3,0.1,0,60,0.0
Guarded-GP,0.3,0.125,0,60,0.0
Guarded-GP,0.3,0.15,0,60,0.0
Guarded-GP,0.3,0.2,13,60,0.21666666666666667
Guarded-GP,0.3,0.25,20,60,0.3333333333333333
Guarded-GP,0.3,0.3,25,60,0.4166666666666667
Guarded-GP,0.3,0.35,25,60,0.4166666666666667
Guarded-GP,0.35,0.05,0,60,0.0
Guarded-GP,0.35,0.075,0,60,0.0
Guarded-GP,0.35,0.1,0,60,0.0
Guarded-GP,0.35,0.125,0,60,0.0
Guarded-GP,0.35,0.15,0,60,0.0
Guarded-GP,0.35,0.2,18,60,0.3
Guarded-GP,0.35,0.25,25,60,0.4166666666666667
Guarded-GP,0.35,0.3,40,60,0.6666666666666666
Guarded-GP,0.35,0.35,48,60,0.8
